nome,tipo,uf,municipio,latitude,longitude,fonte,fonte_url
Laboratório de Inovação Financeira,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
Labori,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
LabPDI - Laboratório de Pesquisa Desenvolvimento e Inovação - PGE-MS,Laboratório de Inovação,MS,Campo Grande,-20.4697,-54.6201,lisp_brasil_mapeamento,
LabPIÁ RS - Laboratório de Inovação Aberta,Laboratório de Inovação,RS,Porto Alegre,-30.0346,-51.2177,lisp_brasil_mapeamento,
LabPrev - Laboratório de Inovação do INSS,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
LabRE-SET - Laboratório de Inovação da SEET-RN,Laboratório de Inovação,RN,Natal,-5.7945,-35.211,lisp_brasil_mapeamento,
LabSin - Laboratório Sinova,Laboratório de Inovação,MT,Cuiabá,-15.6014,-56.0979,lisp_brasil_mapeamento,
LabTAR - Laboratório de Tecnologias de Apoio a Redes de Inovação,Laboratório de Inovação,ES,Vitória,-20.3155,-40.3128,lisp_brasil_mapeamento,
LabTech RS - Laboratório de Inovação em TIC do RS,Laboratório de Inovação,RS,Porto Alegre,-30.0346,-51.2177,lisp_brasil_mapeamento,
LAIS - Laboratório de Inovação Tecnológica em Saúde,Laboratório de Inovação,RN,Natal,-5.7945,-35.211,lisp_brasil_mapeamento,
LAPI - Laboratório Pedagógico de Inovação,Laboratório de Inovação,PR,Curitiba,-25.4284,-49.2733,lisp_brasil_mapeamento,https://educacao.curitiba.pr.gov.br/conteudo/laboratorio-pedagogico-de-inovacao-lapi/11812
LexLab - Laboratório de Inovação Legal da PGE,Laboratório de Inovação,AC,Rio Branco,-9.9754,-67.8249,lisp_brasil_mapeamento,
LIC - Laboratório de Inovação em Controle,Laboratório de Inovação,CE,Fortaleza,-3.7172,-38.5433,lisp_brasil_mapeamento,https://ipc.tce.ce.gov.br/pesquisa-e-inovacao/lic/apresentacao
LIFT - Laboratório de Inovações Financeiras e Tecnológicas,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
LIGA - Laboratório de Inovação em Governo Aberto de Mogi das Cruzes,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,https://liga.sp.gov.br/
LIGO - Laboratório de Inovação Goiás,Laboratório de Inovação,GO,Goiânia,-16.6869,-49.2648,lisp_brasil_mapeamento,
LIIA - Laboratório de Inovação em Inteligência Artificial,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
LIIA - Laboratório de Inovação em Inteligência Artificial (LIIA) - ENAP,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
Lince - Laboratório de Inovação do Controle Externo,Laboratório de Inovação,SC,Florianópolis,-27.5954,-48.548,lisp_brasil_mapeamento,https://www.tcesc.tc.br/content/lince
Linegov - Laboratório de Inovação e Estratégia em Governo,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
Linguagem Simples Lab,Laboratório de Inovação,DF,Brasília,-15.7801,-47.9292,lisp_brasil_mapeamento,
Lino - Laboratório de Inovação do Instituto de Tecnologia da Informação e Comunicação,Laboratório de Inovação,ES,Vitória,-20.3155,-40.3128,lisp_brasil_mapeamento,
LINO - Laboratório de Inovação MP-CE,Laboratório de Inovação,CE,Fortaleza,-3.7172,-38.5433,lisp_brasil_mapeamento,
LIPi - Laboratório de Inovação Tecnológica do Piauí,Laboratório de Inovação,PI,Teresina,-5.0892,-42.8019,lisp_brasil_mapeamento,
LISP CGE PE,Laboratório de Inovação,PE,Recife,-8.0476,-34.877,lisp_brasil_mapeamento,
Living Lab POA,Laboratório de Inovação,RS,Porto Alegre,-30.0346,-51.2177,lisp_brasil_mapeamento,
Lumina - Laboratório de Inovação da Alesc,Laboratório de Inovação,SC,Florianópolis,-27.5954,-48.548,lisp_brasil_mapeamento,https://www.alesc.sc.gov.br
MPLabs - Laboratório de Inovação Tecnológica e de Negócios do MP-PE,Laboratório de Inovação,PE,Recife,-8.0476,-34.877,lisp_brasil_mapeamento,
MPRS.Labs - Laboratório de Dados e Inovação do MPRS,Laboratório de Inovação,RS,Porto Alegre,-30.0346,-51.2177,lisp_brasil_mapeamento,
NauLab - Laboratório de Inovação de Blumenau,Laboratório de Inovação,SC,Florianópolis,-27.5954,-48.548,lisp_brasil_mapeamento,
NIDUS - Laboratório de Inovação de Santa Catarina,Laboratório de Inovação,SC,Florianópolis,-27.5954,-48.548,lisp_brasil_mapeamento,
Pátio Digital,Laboratório de Inovação,SP,São Paulo,-23.5505,-46.6333,lisp_brasil_mapeamento,http://patiodigital.prefeitura.sp.gov.br/
PequiLab - Laboratório de Inovação e Desenvolvimento de Pessoas,Laboratório de Inovação,GO,Goiânia,-16.6869,-49.2648,lisp_brasil_mapeamento,
PGInova - PGE RJ,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
Polen - Laboratório de Inovação em Gestão Pública,Laboratório de Inovação,RJ,Rio de Janeiro,-22.9068,-43.1729,lisp_brasil_mapeamento,
Prisma - Laboratório de Inovação do TC-PE,Laboratório de Inovação,PE,Recife,-8.0476,-34.877,lisp_brasil_mapeamento,https://prisma.tce.pe.gov.br
Sala de Inovação Prodemge,Laboratório de Inovação,MG,Belo Horizonte,-19.9167,-43.9345,lisp_brasil_mapeamento,
